system:index,mean_precip_mm,month,year,.geo
0,61.471058139828216,5,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,56.77908295360964,6,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,79.44247850849294,7,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.3449056690565,8,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,48.22047947504079,9,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,44.58567408385484,5,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,58.409200518838176,6,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,65.51800341205212,7,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,34.85184842944149,8,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,40.656791733417684,9,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,34.502860483857084,5,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,79.23536724971892,6,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,36.96832756204474,7,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,29.476181500561843,8,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,48.738533058349454,9,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,54.093481796435476,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,55.35395481772907,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,23.318001657449113,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,109.1809424637392,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,66.5291962049284,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,62.184779067208,5,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,68.90491636507083,6,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,77.63066711908769,7,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,27.789954241211202,8,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,83.08878679853402,9,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,41.45508593536856,5,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,51.858941202693075,6,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,97.5476506049512,7,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,56.97350568332641,8,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,26.8336974775536,9,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,44.684500964362115,5,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,56.57244097113595,6,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,58.715417354144236,7,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,33.02484239278238,8,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,35.927587169943095,9,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,57.709610685544924,5,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,90.45887658636147,6,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,42.07056698251791,7,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,70.19277785725882,8,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,32.13711270892456,9,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,61.51350371137753,5,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,84.91944696202673,6,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,78.31972597588944,7,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,43.4805821358652,8,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,21.016907318372535,9,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,70.86842467555604,5,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,123.91159247518216,6,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,59.34250245031964,7,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,45.749192315971484,8,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,47.6247916306825,9,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,38.47517731943453,5,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,80.74116014025473,6,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,74.57239382046191,7,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,55.188338603212145,8,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,39.39412624645727,9,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,38.754194662002284,5,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,100.14866515370113,6,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,134.52988359149975,7,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,79.09050417995122,8,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,43.55889865383929,9,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,55.35211268756302,5,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,84.13540664849126,6,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,47.38878032507336,7,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,51.880680112211934,8,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,38.6115037323442,9,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,53.915089335636594,5,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,90.62887359372023,6,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,68.44457403817893,7,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,61.178040476443265,8,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,41.55911663870511,9,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,57.62730601671772,5,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,68.77671194950209,6,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,58.77875606333716,7,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,28.944661006449994,8,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,61.80009637094616,9,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,42.87585017988702,5,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,66.46017610078864,6,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,62.839453789478505,7,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,49.70297458815269,8,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,30.17918140463646,9,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,61.32138191560091,5,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,98.40821574684598,6,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,49.16903624786157,7,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,45.31155672423105,8,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,27.18162471275601,9,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,85.43059136919139,5,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,79.56646828427391,6,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,60.08118453833501,7,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,44.275336280231464,8,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,34.31448396988909,9,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,58.369800409968505,5,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,91.38608669015068,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,76.29423716653405,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,59.85327034248267,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,45.35850628713424,9,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,50.10761126325463,5,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,83.56692361356907,6,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,77.39549467203616,7,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,25.04986717796531,8,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,22.003431043729186,9,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,48.62204973273062,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,139.66512327469624,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,58.279604091311086,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,83.94984003901813,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,45.663465474115725,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,56.41176059948441,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,68.3126468410226,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,29.793444498259383,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,36.698488071421416,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,46.62028505164418,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,107.97035373534871,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,64.48270851498579,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,59.530851816356275,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,75.53753093467738,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,46.42501043708125,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,53.337169708298866,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,165.97919656436528,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,55.098220134417254,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,55.034859830417425,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,49.309497219130535,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,50.57600857530506,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,71.07190958775803,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,26.997622715135403,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,46.86872057126917,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,38.7792898369174,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,83.57151238615995,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,89.19419511813939,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,41.26680732504747,7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,32.80643134112607,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,35.363449769829536,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,52.43346318660295,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,93.98281015559671,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,63.05840232826952,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,53.03947854049257,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,52.500283568476114,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,47.42998187117506,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,57.19547437001209,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,70.3530575264973,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,67.75495791188214,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,32.09322956232781,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,107.62475760313558,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,93.44479060326498,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,57.46027403217697,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,65.80372584949728,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,62.722932014229656,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,83.4549512452082,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,93.89200919349432,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,44.90972896576295,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,40.46088384818877,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,32.63698061268023,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,71.26149848553483,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,86.69376993126711,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,49.25878047746382,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,34.10846024064803,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,15.002179926529546,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,68.94183687305406,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,87.30812466061452,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,62.1467083210371,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,51.44998652277581,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,60.487474317914156,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,54.08837827256052,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,122.59147599172967,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,42.43186471239192,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,83.16677250250379,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,39.46254945844069,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,47.95951025655633,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,53.7920593123269,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,81.4258663173256,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,50.09269314494602,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,46.912236142982024,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,71.56649641490128,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,89.01027278664829,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,87.69497641661317,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,54.35724139749508,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,61.28691353996164,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,35.520300049463664,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,61.66230326557125,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,36.0147656942983,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,27.900889690195598,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,44.63960662662002,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,37.85563412443482,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,79.94463668490812,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,40.618166452608385,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,30.44678597150023,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,51.28217954971067,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,35.65048032963433,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,77.24382878106965,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,59.39182049061345,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,49.95773129705598,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,100.96323569826009,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,36.222968267429295,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,93.20119145557868,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,66.22166585884325,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,36.49184452193803,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,26.765744030598146,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,46.04396847150034,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,53.207804046425146,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,29.722208022344915,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,67.01029547457053,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,22.791599218707262,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,70.62536518298924,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,80.48318517759014,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,68.7101042813536,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,39.002910233558886,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,26.71620754055052,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
